,xcms_id,mz,rt,MaxInto,Baseline,Integration,Noise,rtmin,rtmax,snRatio
M938T31,M938T31,937.770515244375,30.5145,6272.1572265625,2928.42919921875,6.88832092285156,0.0729166666666667,25.3904991149902,31.5144996643066,4.54826540003964
M938T33,M938T33,937.770515244375,33.0896,4320.3701171875,2928.42919921875,1.37168121337891,0.03125,31.0629997253418,34.089599609375,3.78177305334092
M938T42,M938T42,937.770515244375,42.4727,6263.4794921875,2928.42919921875,3.73906707763672,0.0208333333333333,39.2974014282227,43.4726982116699,5.19003714673572
M919T8,M919T8,918.781134283765,8.43530000000001,7104.82177734375,3359.1396484375,28.9496994018555,0.114035087719298,0.19539999961853,12.0085000991821,5.53680891154246
M919T14,M919T14,918.781134283765,14.2572,5491.35400390625,3359.1396484375,11.6038722991943,0.0614035087719298,12.0446996688843,19.1534996032715,5.24162716064243
M919T29,M919T29,918.781134283765,29.1055,8804.6728515625,3359.1396484375,41.0941505432129,0.12280701754386,20.0226001739502,34.089599609375,5.81300690760305
M919T39,M919T39,918.781134283765,39.2974,6332.28955078125,3359.1396484375,10.2496948242188,0.043859649122807,37.7262992858887,45.092399597168,5.45400846785463
M919T47,M919T47,918.781134283765,47.4106,4825.365234375,3359.1396484375,2.51920318603516,0.0263157894736842,45.75,50.1220016479492,4.56152881523142
M980T3,M980T3,979.75703072191,2.9582,2904.86279296875,1882.14123535156,3.46606230735779,0.0512820512820513,0.19539999961853,3.95819997787476,4.21343363343489
M980T5,M980T5,979.75703072191,4.9284,2170.68627929688,1882.14123535156,0.713446855545044,0.0384615384615385,4.19220018386841,6.95340013504028,2.92044920901263
M980T8,M980T8,979.75703072191,8.4353,2534.32397460938,1882.14123535156,1.59733152389526,0.0256410256410256,6.50250005722046,9.43529987335205,4.13189608548727
M980T18,M980T18,979.75703072191,17.8178,22158.681640625,1882.14123535156,88.7278518676758,0.192307692307692,11.0085000991821,33.5371017456055,6.13423246637797
M980T18_1,M980T18_1,980.312861587301,17.8178,11109.728515625,2561.79931640625,0.339611023664474,0.0217391304347826,16.9262008666992,19.1534996032715,2.74868703214898
M980T42,M980T42,979.75703072191,42.4727,3248.298828125,1882.14123535156,5.35251617431641,0.0641025641025641,34.6514015197754,43.4726982116699,4.42483767755727
M980T42_1,M980T42_1,980.312861587301,42.4727,1770690.875,2561.79931640625,98.9148635864258,0.0652173913043478,39.2974014282227,50.1220016479492,7.32428862420112
M944T4,M944T4,943.768133681247,4.1922,2039.072265625,1451.56884765625,7.14657926559448,0.125,0.19539999961853,6.95340013504028,4.04607535951191
M944T17,M944T17,943.768133681247,16.9262,4560.08203125,1451.56884765625,91.665885925293,0.25,11.0085000991821,48.4105987548828,5.90444465290346
M961T8,M961T8,960.85445760946,7.7001,9431.5712890625,4957.81396484375,32.7577934265137,0.123456790123457,0.19539999961853,8.70009994506836,5.58100496267174
M961T9,M961T9,960.85445760946,9.4455,5909.2421875,4957.81396484375,3.67990875244141,0.0493827160493827,8.43529987335205,11.1900997161865,4.31104274989375
M961T22,M961T22,960.85445760946,21.7683,6104.150390625,4957.81396484375,2.50374603271484,0.0246913580246914,20.0226001739502,22.7682991027832,4.61908999757187
