fromNode,toNode,value,interaction_type,selfLoop,label,guid
C00049,C01044,0.876636255398049,Ms2,False,,138
C00123,C02710,0.25,Ms1,False,,1380
C21678,C04578,0.0625,Ms1,False,,1381
C07185,C16648,0.25,Ms1,False,,1382
C07185,C16651,0.25,Ms1,False,,1383
C07185,C16649,0.25,Ms1,False,,1384
C07185,C16650,0.25,Ms1,False,,1385
C02486,C00123,1,Ms2,False,,1386
C21092,C00407,1,Ms2,False,,1387
C00407,C21092,1,Ms2,False,,1388
C00123,C02486,1,Ms2,False,,1389
C07578,C10784,0.25,Ms1,False,,139
C20782,C00601,0.00972927804470683,Ms2,False,,1390
C00601,C02083,0.0103798159851399,Ms2,False,,1391
C00601,C20782,0.0103798159851399,Ms2,False,,1392
C00507,C00861,0.992730249824467,Ms2,False,,1393
C01019,C01721,0.992730249824467,Ms2,False,,1394
C00861,C00507,0.992730249824467,Ms2,False,,1395
C01721,C01019,0.992730249824467,Ms2,False,,1396
C20835,C20836,0.992730249824467,Ms2,False,,1397
C02476,C02338,0.992730249824467,Ms2,False,,1398
C20836,C20835,0.992730249824467,Ms2,False,,1399
C02083,C00601,0.97197399091604,Ms2,False,,14
C06972,C21903,0.25,Ms1,False,,140
C02338,C02476,0.992730249824467,Ms2,False,,1400
C00349,C01205,0.00390625,Ms1,False,,1401
C15987,C00334,0.00390625,Ms1,False,,1402
C00719,C01026,0.00390625,Ms1,False,,1403
C06002,C03284,0.00390625,Ms1,False,,1404
C21015,C02356,0.00390625,Ms1,False,,1405
C15987,C00232,1.38777878078145E-17,Ms1,False,,1406
C02378,C06593,5.8130985525425E-11,Ms1,False,,1407
C01312,C04835,0.223514529505253,Ms1,False,,1408
C00584,C04707,0.223514529505253,Ms1,False,,1409
C15651,C15650,0.0625,Ms1,False,,141
C00696,C04758,0.223514529505253,Ms1,False,,1410
C21003,C21001,0.0625,Ms1,False,,1411
C01255,C04277,0.0625,Ms1,False,,1412
C20515,C20514,0.00390625,Ms1,False,,1413
C02378,C01255,0.988800988510335,Ms2,False,,1414
C00371,C01513,0.25,Ms1,False,,1415
C00779,C01173,1,Ms2,False,,1416
C01173,C00779,1,Ms2,False,,1417
C08247,C09755,0.0625,Ms1,False,,1418
C00763,C00148,0.93302528677612,Ms2,False,,1419
C15650,C15651,0.0625,Ms1,False,,142
C00148,C00763,0.93302528677612,Ms2,False,,1420
C06006,C14463,0.222580315121793,Ms2,False,,1421
C06102,C06104,0.136089388051518,Ms1,False,,1422
C14463,C06006,0.222580315121793,Ms2,False,,1423
C06330,C06343,0.0625,Ms1,False,,1424
C06323,C06324,0.0625,Ms1,False,,1425
C06413,C06415,0.0625,Ms1,False,,1426
