id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,mzCalc,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction,fileName,scanId
M225T457,225.111785888672,456.687,347511.3125,C04000,206.0943,C12H14O3,Benzyl 2-methyl-3-oxobutanoate,[M+H+H2O]+,0,4,Ms1,0,0,0,0.25,2,0,0,0.00215796490014042,M227T435: C04561,C04561,RC00525,C1c-C5a:*-*:C1a+C1c+O1a-C1a+C1c+O5a,,0
M225T457,225.111785888672,456.687,347511.3125,C19580,225.1113,C10H15N3O3,alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol,[M]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00198337519071989,M210T314: C19574,C19574,RC02530,C1a-C1b:*-O1a:N1c-N1c,,0
M225T457,225.111785888672,456.687,347511.3125,C19577,225.1113,C10H15N3O3,"1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol",[M]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00198337519071989,M210T314: C19574,C19574,RC02531,C1b-C1c:*-O1a:C1b+N1c-C1b+N1c,,0
M225T457,225.111785888672,456.687,347511.3125,C12458,206.0943,C12H14O3,3-Dimethylallyl-4-hydroxybenzoate,[M+H+H2O]+,0,4,Ms1,0,0,0,0.25,2,0,0,0.00315967473532863,M237T897: C12457,C12457,RC01679,C1c-C6a:C6a+*-*+O6a:C8y+O1a-C8y+O6a,,0
M219T457,219.194839477539,456.883,322067.40625,C02679,200.1776,C12H24O2,Dodecanoic acid,[M+H+H2O]+,0,5,Ms1,0,0,0,0.00285934309038233,7,0,0,0.0047081348282263,M217T1: C21080,C21080,RC00709,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b,,0
M114T458,114.091247558594,458.299,240783.875,C06593,113.0841,C6H11NO,epsilon-Caprolactam,[M+H]+,0,6,Ms1,0,0,0,1.48390971909889E-08,33,0,0,0.00306164946144194,M132T272: C02378,C02378,RC00931,C5x-C6a:N1x+*-*+O6a:C1x+O5x-C1b+O6a N1x-N1a:C5x-*:C1x-C1b,,0
M186T459,186.112640380859,459.139,359927.21875,C12449,185.1052,C9H15NO3,Pseudoecgonine,[M+H]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00197529980644395,M204T319: C10858,C10858,RC01645,C1y-C1y:*-*:C1y+C1y+C6a-C1y+C1y+C6a,,0
M186T459,186.112640380859,459.139,359927.21875,C10858,185.1052,C9H15NO3,Ecgonine,[M+H]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00197529980644395,M204T319: C12449,C12449,RC01645,C1y-C1y:*-*:C1y+C1y+C6a-C1y+C1y+C6a,,0
M186T459,186.112640380859,459.139,359927.21875,C01869,167.0946,C9H13NO2,(-)-Sympatol,[M+H+H2O]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00195891697867601,M137T570: C03765,C03765,RC00914,C1b-C1c:*-O1a:C4a+C8y-C1b+C8y C4a-C1b:O4a+*-*+N1b:C1b-C1c O4a-O1a:C4a+*-*+C1c:*-*,,0
M186T459,186.112640380859,459.139,359927.21875,C19582,167.0946,C9H13NO2,"1-(3-Pyridinyl)-1,4-butanediol",[M+H+H2O]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00195891697867601,M182T248: C19579,C19579,RC00651,C1b-C6a:*-O6a:C1b+O1a-C1b+O6a,,0
