id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M227T842,226.95166015625,842.21148,13356086.65466,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms1,0.56629141039899,0.201932461382988,0,0.00416099886241667,14,0,0,0.00190769794134971,M227T201: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M163T38,162.973892211914,38.111484,5608589.245895,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,13,Ms1,0.780983597355046,0.101980848583535,0,3.01237852049709E-08,14,0,0,0.00238444203832655,M220T367: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T750,164.067069333831,749.62866,2031767.628601,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.997301139044476,0.996562080380384,1,0.982086599377082,15,0,0,0.000272284417305979,M164T959: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T587,208.039591202365,587.035884,4203984.754791,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.998516441848973,0.997168560893904,1,0.852948732748511,15,0,0,0.000304410707614444,M208T564: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M224T41,224.076400756836,40.8454836,6189058.8759,C05651,224.0797,C10H12N2O4,5-Hydroxykynurenine,[M]+,15,Ms1,0.373882824805761,0.57470084080851,0.111111111111111,3.72529029846191E-09,15,0,0,0.00169825847095839,M252T45: C05648,C05648,RC00263,N1a-N1b:*-C4a:C8y-C8y
M208T587,208.039591202365,587.035884,4203984.754791,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.998516441848973,0.997168560893904,1,0.852948732748511,15,0,0,0.000304410707614444,M208T564: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T478,217.014613466676,477.518382,4025540.485123,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,15,Ms2,0.994209792936845,0.999730432367477,0.8,0.986788577954314,15,0,0,0.000381996191161305,M217T271: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M220T56,219.972910723061,56.0258928,5967980.341545,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.118571882148794,0.778489087460188,0,7.53094630124274E-09,15,0,0,0.00206146947275943,M163T38: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M227T499,226.951705932617,499.35915,4827071.859978,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,1,Ms2,0.595050700911933,0.698564013615655,0.111111111111111,0.0024760052895748,15,0,0,0.00100518561737895,M227T842: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M164T750,164.067069333831,749.62866,2031767.628601,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.997301139044476,0.996562080380384,1,0.982086599377082,15,0,0,0.000272284417305979,M164T959: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T499,226.951705932617,499.35915,4827071.859978,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms2,0.595050700911933,0.698564013615655,0.111111111111111,0.0024760052895748,15,0,0,0.00100029247141031,M227T842: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M217T478,217.014613466676,477.518382,4025540.485123,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.994209792936845,0.999730432367477,0.8,0.986788577954314,15,0,0,0.000380795260634503,M217T271: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M163T341,162.973815917969,340.705056,4185163.960815,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,13,Ms1,0.402056249868679,0.102776935436932,0,7.53094630124274E-09,15,0,0,0.0025841701468714,M220T435: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M217T408,217.014678955078,408.450402,5737920.664444,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.999187466901384,0.998206878063502,1,0.985019145708499,16,0,0,0.000354515113896614,M217T478: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T541,208.039575731114,541.41882,4000580.763046,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.994124226934925,0.99691571126302,1,0.847936999558738,16,0,0,0.000305836122608039,M208T587: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T984,164.067153930664,983.75232,11393472.84525,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.993973947002931,0.99884562227783,0.666666666666667,0.976168493481524,16,0,0,0.000304769587128551,M164T750: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T541,208.039575731114,541.41882,4000580.763046,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.994124226934925,0.99691571126302,1,0.847936999558738,16,0,0,0.000305836122608039,M208T587: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M227T1120,226.951809486943,1119.759,4165202.373932,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,2,Ms2,0.858092168297368,0.865172308456246,0.428571428571429,0.00212464074764699,16,0,0,0.000748957490774194,M227T499: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M220T503,219.972742041501,503.22858,4788531.218658,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,15,Ms1,0.0873175017426936,0.396913104603349,0,1.88273657531068E-09,16,0,0,0.00299034966380685,M163T341: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T984,164.067153930664,983.75232,11393472.84525,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.993973947002931,0.99884562227783,0.666666666666667,0.976168493481524,16,0,0,0.000304769587128551,M164T750: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T1120,226.951809486943,1119.759,4165202.373932,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms2,0.858092168297368,0.865172308456246,0.428571428571429,0.00212464074764699,16,0,0,0.000752126702515676,M227T499: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M217T408,217.014678955078,408.450402,5737920.664444,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.999187466901384,0.998206878063502,1,0.985019145708499,16,0,0,0.00035559382493866,M217T478: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M163T295,162.973739927756,294.620898,4582423.598236,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,12,Ms1,0.316557664960043,0.129307769753466,0,1.88273657531068E-09,16,0,0,0.00268025991872189,M220T56: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M208T496,208.039615258977,495.88455,4013102.482674,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.995865557926329,0.99734631106967,1,0.84443125315194,17,0,0,0.000304964637355631,M208T541: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T1009,164.067123413086,1008.6015,10212386.7103,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.980647869830591,0.996744480514217,0.25,0.957277553728394,17,0,0,0.000357940248070676,M164T984: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T496,208.039615258977,495.88455,4013102.482674,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.995865557926329,0.99734631106967,1,0.84443125315194,17,0,0,0.000304964637355631,M208T541: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T362,217.014678955078,361.929324,7423087.03186,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.999560368614064,0.998458092508872,1,0.983500337308827,17,0,0,0.000355713810508362,M217T408: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M164T1009,164.067123413086,1008.6015,10212386.7103,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.980647869830591,0.996744480514217,0.25,0.957277553728394,17,0,0,0.000357940248070676,M164T984: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T86,226.951797485352,85.694184,11464832.54663,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms1,0.45959943006744,0.444040560808169,0.25,0.000531160186911748,17,0,0,0.00188141545800091,M227T1120: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M227T86,226.951797485352,85.694184,11464832.54663,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,2,Ms1,0.45959943006744,0.444040560808169,0.25,0.000531160186911748,17,0,0,0.00186891059655592,M227T1120: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M217T362,217.014678955078,361.929324,7423087.03186,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.999560368614064,0.998458092508872,1,0.983500337308827,17,0,0,0.000354634553958233,M217T408: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M220T457,219.972860736831,457.485138,5268384.935883,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.0944463645547962,0.347330348223371,0,4.70684143827671E-10,17,0,0,0.00323045576855119,M163T295: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M163T318,162.97380065918,317.524068,3974925.865967,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,13,Ms1,0.370581381795632,0.0871217260176191,0,4.70684143827671E-10,17,0,0,0.0026991772131677,M220T503: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M217T432,217.014694213867,431.526966,5023434.823425,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,16,Ms2,0.997104330587461,0.999404124038359,1,0.98065244546486,18,0,0,0.00035568825583665,M217T362: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M164T1054,164.067123413086,1054.4808,7961085.587877,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.997053836091821,0.997045025784739,0.666666666666667,0.954448823240278,18,0,0,0.000306061736927932,M164T1009: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T432,217.014694213867,431.526966,5023434.823425,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.997104330587461,0.999404124038359,1,0.98065244546486,18,0,0,0.000356772328775845,M217T362: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T473,208.039627075195,472.906974,3743920.025703,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.997012986998499,0.997012986998499,1,0.841908926019902,18,0,0,0.000304844160918805,M208T496: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T1054,164.067123413086,1054.4808,7961085.587877,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.997053836091821,0.997045025784739,0.666666666666667,0.954448823240278,18,0,0,0.000306061736927932,M164T1009: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T750,226.951690673828,750.49284,5857656.675568,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms1,0.472678905983724,0.146056725713252,0,0.000132790046727937,18,0,0,0.00224699858947552,M227T86: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M227T750,226.951690673828,750.49284,5857656.675568,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,1,Ms1,0.472678905983724,0.146056725713252,0,0.000132790046727937,18,0,0,0.0022634872736973,M227T86: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M220T344,219.972840313561,343.81641,5693455.317905,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.104450480494513,0.352094444433072,0,1.17671035956918E-10,18,0,0,0.00316050479436258,M163T318: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M208T473,208.039627075195,472.906974,3743920.025703,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.997012986998499,0.997012986998499,1,0.841908926019902,18,0,0,0.000304844160918805,M208T496: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M181T420,180.984436035156,420.205854,5008300.671532,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H+H2O]+,12,Ms1,0.529842915381584,0.300527142527559,0.111111111111111,1.17671035956918E-10,18,0,0,0.00166371316119274,M220T457: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M208T519,208.039560769071,518.766918,3415437.0065,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,5,Ms2,0.993524143066849,0.991980399465803,1,0.835157152747047,19,0,0,0.000308192967294563,M208T473: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M208T519,208.039560769071,518.766918,3415437.0065,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,5,Ms2,0.993524143066849,0.991980399465803,1,0.835157152747047,19,0,0,0.000308192967294563,M208T473: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T1078,164.067153930664,1077.73782,8394276.930923,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.997002887807708,0.999796699300458,1,0.951588233035226,19,0,0,0.000274037031781527,M164T1054: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T385,217.014755249023,385.121574,6152369.442215,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,16,Ms2,0.999649408368128,0.996075993552072,1,0.97680435894568,19,0,0,0.000358208869418064,M217T432: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M164T1078,164.067153930664,1077.73782,8394276.930923,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.997002887807708,0.999796699300458,1,0.951588233035226,19,0,0,0.000274037031781527,M164T1054: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T385,217.014755249023,385.121574,6152369.442215,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.999649408368128,0.996075993552072,1,0.97680435894568,19,0,0,0.000359304492768553,M217T432: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M220T184,219.972743852997,183.800898,7744591.946686,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,15,Ms1,0.304600866103459,0.552331106629693,0.111111111111111,2.94177589892294E-11,19,0,0,0.00187203595482854,M181T420: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M163T547,162.97380065918,547.400718,4221134.299377,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,13,Ms1,0.168456669653096,0.15207564654786,0,2.94177589892294E-11,19,0,0,0.00312825931404936,M220T344: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M227T613,226.95179033362,613.4043,5222409.714081,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms2,0.70805152719159,0.713445229213757,0.428571428571429,9.40221953815584E-05,19,0,0,0.000669802848600298,M227T750: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M227T613,226.95179033362,613.4043,5222409.714081,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,2,Ms2,0.70805152719159,0.713445229213757,0.428571428571429,9.40221953815584E-05,19,0,0,0.000667138817584512,M227T750: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M208T450,208.039611816406,450.087384,3908627.369286,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.987522474641209,0.99055480570221,0.666666666666667,0.82473645819507,20,0,0,0.000348408991007298,M208T519: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T524,217.014572143555,523.59747,3282903.440704,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.992177905483822,0.998766708392517,0.666666666666667,0.969163702926192,20,0,0,0.000403196378417903,M217T385: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T450,208.039611816406,450.087384,3908627.369286,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.987522474641209,0.99055480570221,0.666666666666667,0.82473645819507,20,0,0,0.000348408991007298,M208T519: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T1032,164.067169189453,1031.50692,8122458.15387,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.999729189265408,0.996606116070995,1,0.948358653024098,20,0,0,0.000274795487988255,M164T1078: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M164T1032,164.067169189453,1031.50692,8122458.15387,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.999729189265408,0.996606116070995,1,0.948358653024098,20,0,0,0.000274795487988255,M164T1078: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T524,217.014572143555,523.59747,3282903.440704,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,15,Ms2,0.992177905483822,0.998766708392517,0.666666666666667,0.969163702926192,20,0,0,0.000404504891395652,M217T385: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M227T453,226.951751708984,453.285882,5126217.211136,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms2,0.861828591448504,0.884106952895557,0.428571428571429,8.10310162105845E-05,20,0,0,0.000565709009574311,M227T613: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M227T453,226.951751708984,453.285882,5126217.211136,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms2,0.861828591448504,0.884106952895557,0.428571428571429,8.10310162105845E-05,20,0,0,0.000567788874065167,M227T613: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M163T272,162.973739624023,271.624602,3947229.778015,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,12,Ms1,0.217219830165595,0.0627345295454567,0,7.35443974730736E-12,20,0,0,0.00320596591533895,M220T184: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M220T778,219.972595214844,777.8448,1606083.191345,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,15,Ms1,0.219916539190727,0.107059410185983,0,7.35443974730736E-12,20,0,0,0.00343953132329911,M163T547: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T1101,164.067138671875,1100.60256,8734282.578056,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.996683263965042,0.999709802591442,0.666666666666667,0.945213197705549,21,0,0,0.000307202401626627,M164T1032: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T427,208.039688110352,427.182618,3258335.344482,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.996818910691724,0.997734529863782,0.666666666666667,0.822112897865761,21,0,0,0.000344260785708927,M208T450: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M208T427,208.039688110352,427.182618,3258335.344482,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.996818910691724,0.997734529863782,0.666666666666667,0.822112897865761,21,0,0,0.000344260785708927,M208T450: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T1101,164.067138671875,1100.60256,8734282.578056,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.996683263965042,0.999709802591442,0.666666666666667,0.945213197705549,21,0,0,0.000307202401626627,M164T1032: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T501,217.014663696289,500.573838,4182964.030701,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.997695328165742,0.998484321243717,1,0.966930098637274,21,0,0,0.000357720101115788,M217T524: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
