id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M208T633,208.039645928428,632.90484,3426791.323654,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.999265909241009,0.998208984433465,1,0.864218053599597,11,0,0,0.000301645983690868,M208T610: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T476,164.067078058468,475.513062,6433485.066788,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.996862016413691,0.999602387173804,1,0.992449181529235,11,0,0,0.000270886268583403,M164T681: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M164T476,164.067078058468,475.513062,6433485.066788,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.996862016413691,0.999602387173804,1,0.992449181529235,11,0,0,0.000270886268583403,M164T681: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T633,208.039645928428,632.90484,3426791.323654,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.999265909241009,0.998208984433465,1,0.864218053599597,11,0,0,0.000301645983690868,M208T610: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T179,217.014617919922,178.937256,16039135.83993,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,15,Ms2,0.999335298778203,0.998288534496089,0.8,0.995036424816195,11,0,0,0.000380373441897675,M217T316: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M217T179,217.014617919922,178.937256,16039135.83993,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.999335298778203,0.998288534496089,0.8,0.995036424816195,11,0,0,0.000379180148299296,M217T316: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M227T60,226.951745696594,60.239022,4628762.70565,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms2,0.914950165660347,0.945664477774745,0.25,0.0754111689961567,11,0,0,0.000723359736090501,M227T659: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M227T60,226.951745696594,60.239022,4628762.70565,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms2,0.914950165660347,0.945664477774745,0.25,0.0754111689961567,11,0,0,0.000726367763397961,M227T659: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M220T230,219.972815602039,229.561782,7127004.124435,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.376204901677081,0.682447034306668,0.111111111111111,1.92792225311814E-06,11,0,0,0.00160461645336651,M181T43: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M181T351,180.984466552734,351.204948,5130355.761475,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H+H2O]+,12,Ms1,0.473794628076197,0.406921818743963,0.111111111111111,1.92792225311814E-06,11,0,0,0.00160831513267623,M220T298: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
