xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M279T761,279.2314,760.9,754.85,773.03,1120000,16,108000,1730000,5969554.265625,40.62,-10.6603
M279T964,279.2314,964.1,956.81,971.46,2030000,13,108000,1410000,6188624.0703125,44.65,-10.3582
M279T964_1,279.2314,964.1,961.68,980,2030000,15,108000,1620000,6103152.87109375,38.52,-10.6488
M280T321,280.1286,320.75,318.35,337.65,807000,10,80900,809000,2261664.80273438,100,-8.9988
M280T321_1,280.1286,320.75,318.35,337.65,807000,10,80900,809000,2261664.80273438,100,-8.9988
M280T1015,280.1615,1015.28,1009.21,1021.41,6310000,11,146000,1610000,25263203.0703125,73.57,-9.9921
M280T438,280.1731,437.92,436.72,444.02,1980000,7,81800,573000,4872714.34375,94.05,-8.714
M117T80,117.0735,80.1,80.1,86.07,2650000,6,40400,243000,6621455.25390625,97.42,-7.8203
M117T336,117.102,336.44,329.2,343.71,826000,13,233000,3030000,6668438.8125,43.28,-11.1564
M281T287,281.1493,286.81,283.2,297.78,1220000,10,97000,970000,3655749.65625,99.94,-9.1808
M281T1017,281.1649,1016.51,1011.63,1020.18,305000,8,33600,269000,1163414.3359375,95.15,-7.9466
M281T980,281.247,980,977.57,987.27,1850000,9,213000,1920000,4833962.41015625,100,-9.8612
M118T74,118.0611,74.11,72.94,78.89,597000,6,60500,363000,1400674.3125,100,-8.1968
M118T88,118.0827,88.49,81.3,94.56,486000,10,76400,764000,1546180.734375,90.98,-9.0351
M118T88_1,118.0827,88.49,81.3,94.56,486000,10,76400,764000,1546180.734375,85.68,-9.0951
M118T88_2,118.0827,88.49,81.3,94.56,486000,10,76400,764000,1546180.734375,85.68,-9.0951
M118T88_3,118.0827,88.49,81.3,94.56,486000,10,76400,764000,1546180.734375,85.68,-9.0951
M118T88_4,118.0857,88.49,81.3,95.77,82300000,13,393000,5110000,304410972.71875,88.37,-10.9646
M118T88_5,118.1045,88.49,83.66,93.34,371000,9,37500,338000,1176698.515625,78.63,-8.3656
M118T75,118.0857,75.28,71.76,81.3,9030000,9,393000,3540000,23388329.5,4,-13.6915
M503T906,503.3353,905.68,896,910.53,526000,9,46900,422000,1849806.51171875,71.45,-8.6836
M283T941,283.1558,941.02,938.52,944.7,272000,6,65900,396000,903564.12109375,82.63,-8.4736
M283T941_1,283.1558,941.02,938.52,944.7,272000,6,65900,396000,903564.12109375,82.63,-8.4736
M119T65,119.0187,64.55,57.34,65.74,277000,8,39000,312000,973741.4609375,100,-8.0462
M119T88,119.0891,88.49,81.3,98.22,4850000,15,72500,1090000,15632895.6289063,52.22,-9.9437
M119T124,119.0891,123.93,116.57,128.76,2670000,11,72500,797000,4748055.0390625,14.18,-10.9374
M119T631,119.0891,631,623.69,638.33,632000,13,72500,942000,5027468.9140625,15.68,-11.0039
M120T61,119.5552,60.92,46.43,65.74,190000,6,45700,274000,655295.970703125,100,-7.9157
M120T73,120.0653,72.94,69.34,83.66,7300000,13,58700,763000,24454538.0351563,91.83,-9.0245
M120T271,120.0805,271.01,268.61,277.15,3120000,8,33600,268000,8013295.13476563,99.69,-7.8983
M120T88,120.0899,88.49,83.66,90.9,213000,7,43500,305000,669997.35546875,96.86,-8.0541
M284T232,284.0988,232.37,229.95,236,2550000,6,95600,573000,5639495.6484375,100,-8.6543
M284T952,284.3309,951.95,947.12,961.68,720000,13,129000,1680000,3723548.06640625,99.56,-9.7328
M285T798,284.6562,798.4,789.96,800.81,364000,10,75800,758000,1533074.96875,68.33,-9.3139
M285T65,285.1545,64.55,57.34,66.94,446000,9,84800,763000,2348625.3046875,93.74,-9.0045
M285T480,285.1691,480.34,475.49,485.15,251000,7,51300,359000,766420.64453125,100,-8.1866
M778T881,777.5291,881.43,878.93,885.12,9610000,6,282000,1690000,20643203.4609375,100,-9.7353
M779T881,778.5325,881.43,878.93,885.12,4670000,6,65600,393000,10060243.0546875,96.69,-8.311
M121T65,120.9806,64.55,54.93,66.94,806000,11,74200,817000,2002290.96875,51.97,-9.6624
M121T118,121.0646,117.79,110.46,125.13,849000,13,325000,4220000,8444699.90625,9.77,-12.9764
M121T219,121.0646,218.99,212.95,226.3,4230000,12,325000,3900000,19656020.84375,25.03,-11.9562
M780T881,779.5371,881.43,878.93,886.36,1040000,7,51000,357000,2622551.1171875,93.65,-8.2464
M287T445,287.185,445.22,440.31,448.85,560000,7,50500,354000,1679447.3359375,92.17,-8.253
M287T757,287.221,757.29,751.2,765.73,803000,13,108000,1410000,3949023.59375,23.65,-10.9931
M122T219,122.0681,218.99,216.57,228.74,292000,10,40800,408000,994624.12890625,52.01,-8.9674
M122T219_1,122.0681,218.99,216.57,225.09,292000,8,40800,326000,926187.4140625,52.01,-8.7442
M122T310,122.0961,309.86,305.05,317.17,4540000,10,41400,414000,12916720.6367188,95.42,-8.3744
M288T381,288.1914,381.22,373.94,383.66,2830000,8,75300,602000,7195566.20898438,82.51,-8.8959
M288T381_1,288.1914,381.22,373.94,384.87,2830000,9,75300,678000,7330481.06835938,83.15,-9.0059
M288T381_2,288.1914,381.22,373.94,387.28,2830000,11,75300,828000,7438379.25976563,83.15,-9.2066
M288T226,288.2026,226.3,212.95,231.16,1380000,10,62000,620000,3962287.58984375,100,-8.7317
M123T1048,122.547,1048.38,1041.08,1048.38,142000,6,35000,210000,487962.0546875,73.39,-7.959
M123T68,122.9242,68.15,64.55,74.11,10900000,8,69500,556000,25747364.5976563,99.84,-8.6243
M123T139,123.055,138.52,136.08,145.85,1350000,9,79400,715000,4651364.25390625,100,-8.8748
M123T139_1,123.055,138.52,136.08,145.85,1350000,9,79400,715000,4651364.25390625,100,-8.8748
M782T841,781.5596,841.31,833.97,848.61,9670000,11,760000,8360000,33231297.9765625,26.88,-12.648
M782T841_1,781.5596,841.31,838.79,851.06,9670000,11,760000,8360000,33438132.328125,24.19,-12.7533
M782T870,781.5596,870.41,860.71,880.13,23700000,15,760000,11400000,62181682.171875,53.42,-12.2713
M782T928,781.5596,927.61,925.17,931.28,6420000,6,760000,4560000,13672732.9648438,10.1,-13.0207
M783T829,782.5626,829.11,825.43,836.39,1720000,10,139000,1390000,6322186.01367188,8.83,-11.9656
M783T841,782.5626,841.31,833.97,848.61,4650000,12,139000,1670000,15549348.8886719,23.94,-11.151
M783T870,782.5626,870.41,864.38,877.72,12600000,9,139000,1250000,31030663.4335938,50.46,-10.1176
M783T888,782.5626,887.57,881.43,892.4,1630000,8,139000,1110000,4234866.53515625,5.64,-12.1914
M783T928,782.5626,927.61,925.17,933.69,2950000,8,139000,1110000,7071470.5234375,9.97,-11.6215
M512T913,512.3931,912.95,906.88,915.37,571000,8,56700,453000,1804723.5390625,94.76,-8.4733
M512T913_1,512.3931,912.95,906.88,920.2,571000,12,56700,680000,1972935.50585938,92.54,-8.9025
M124T75,123.5941,75.28,70.55,77.69,903000,6,53600,322000,1905871.26171875,100,-8.0756
M124T75_1,123.5941,75.28,70.55,77.69,903000,6,53600,322000,1905871.26171875,100,-8.0756
M124T128,124.0389,127.54,120.23,134.86,38800000,13,103000,1340000,126367759.25,92.01,-9.586
M124T153,124.0389,153.15,153.15,160.46,668000,7,103000,721000,2730446.75,2.89,-12.4266
M124T190,124.0389,189.79,176.38,194.69,381000,16,103000,1650000,4075722.390625,1.5,-13.9108
M784T841,783.5659,841.31,838.79,847.38,1070000,8,77000,616000,4117273.3984375,30.71,-9.9057
M784T870,783.5659,870.41,855.87,874.09,2490000,6,77000,462000,7042709.64453125,60.54,-8.9393
M784T818,783.5758,817.81,810.52,824.23,4500000,9,276000,2490000,8827821.74609375,20.5,-11.7055
M784T830,783.5758,830.31,820.49,833.97,1120000,12,276000,3310000,6676653.43359375,10.77,-12.6373
M784T926,783.5758,926.38,923.94,933.69,9880000,8,276000,2210000,24636357.34375,65.36,-10.4282
M290T85,290.1345,84.86,83.66,92.12,817000,8,42000,336000,2150561.9609375,43.42,-8.9549
M290T85_1,290.1345,84.86,83.66,92.12,817000,8,42000,336000,2150561.9609375,43.42,-8.9549
M290T125,290.1345,125.13,123.93,131.2,360000,7,42000,294000,1047829.58398438,29.85,-9.1963
M290T125_1,290.1345,125.13,123.93,138.52,360000,10,42000,420000,1206569.17773438,20.21,-9.9427
M290T125_2,290.1345,125.13,123.93,140.97,360000,12,42000,505000,1296718.99023438,20.59,-10.1063
M290T311,290.1708,311.07,303.83,317.17,3050000,12,76900,923000,8138425.22265625,71.73,-9.4625
M290T311_1,290.1708,311.07,303.83,317.17,3050000,12,76900,923000,8138425.22265625,95.51,-9.1761
M290T311_2,290.1708,311.07,309.86,317.17,3050000,7,76900,538000,7239738.3359375,77.89,-8.8411
M290T675,290.2685,674.72,671.09,678.41,761000,7,97100,680000,2101208.82421875,97.26,-8.8517
M785T926,784.5796,926.38,923.94,930.07,4180000,6,420000,2520000,11178331.28125,60.69,-10.6351
M291T234,291.0697,233.57,231.16,237.2,720000,6,147000,881000,1792015.06640625,94.56,-9.1396
M786T819,785.5919,819.23,816.58,825.43,19600000,8,1000000,8010000,49241386.125,19.8,-12.9103
M786T923,785.5919,922.68,920.2,930.07,58200000,9,1000000,9010000,180951261.21875,77.95,-11.6577
M125T128,125.0423,127.54,120.23,134.86,2540000,11,49800,548000,7306162.73046875,100,-8.6085
M292T318,292.2114,318.35,309.86,329.2,4070000,13,93200,1210000,15520732.40625,96.69,-9.4363
M126T1047,125.5465,1047.18,1041.08,1048.38,714000,7,46300,324000,2410482.578125,88.02,-8.212
M126T1047_1,125.9765,1047.18,1043.58,1054.48,205000,7,30800,216000,475444.275390625,84.09,-7.8501
M126T1047_2,125.9858,1047.18,1039.87,1048.38,14300000,8,115000,917000,50023660.0390625,73.91,-9.4262
M126T65,125.9858,64.55,54.93,68.15,1950000,12,115000,1380000,6762768.640625,8.09,-12.0443
M787T819,786.5949,819.23,816.58,825.43,9960000,8,650000,5200000,24247903.1171875,18.46,-12.5488
M787T923,786.5949,922.68,920.2,930.07,31700000,9,650000,5850000,94477575.703125,79.99,-11.2005
M517T653,517.3258,652.92,648.08,663.83,1080000,14,144000,2010000,5484387.61132813,87.58,-10.0417
M517T912,517.3467,911.74,905.68,914.16,152000,6,43600,262000,561670.91796875,95.5,-7.9154
M788T819,787.5976,819.23,804.44,823.03,1910000,9,248000,2230000,5291232.99609375,14.42,-11.9502
M788T923,787.5976,922.68,920.2,930.07,7670000,9,248000,2230000,23084368.4648438,85.57,-10.1697
M293T349,293.1907,348.57,346.17,355.81,2210000,9,88500,797000,6071406.92578125,95.31,-9.0312
M293T349_1,293.1907,348.57,346.17,355.81,2210000,9,88500,797000,6071406.92578125,95.31,-9.0312
M293T318,293.2148,318.35,317.17,323.16,410000,6,74000,444000,1487596.1328125,51.24,-9.0667
M518T653,518.3293,652.92,650.5,660.2,262000,9,63000,567000,1331781.27734375,90.56,-8.7428
M518T653_1,518.3293,652.92,652.92,662.6,262000,9,63000,567000,1219152.9296875,54.72,-9.2466
M127T228,127.0498,227.51,226.3,234.79,945000,8,50300,402000,3455276.265625,49.78,-8.9973
M127T267,127.0498,267.4,257.75,277.15,1260000,15,50300,754000,3129207.45507813,38.5,-9.8828
M127T267_1,127.0498,267.4,265,282,1260000,12,50300,603000,3016229.90820313,38.35,-9.6635
M520T926,520.3385,926.38,923.94,933.69,1340000,9,168000,1510000,4862159.9296875,96.71,-9.6575
M520T926_1,520.3385,926.38,923.94,933.69,1340000,9,168000,1510000,4862159.9296875,98.74,-9.6368
M520T926_2,520.3385,926.38,923.94,933.69,1340000,9,168000,1510000,4862159.9296875,98.74,-9.6368
M295T368,295.165,367.92,363.12,372.73,3160000,8,327000,2610000,7211764.375,59.99,-10.6817
M295T990,295.2263,989.71,982.42,997.02,3300000,13,67200,874000,14056471.9375,94.72,-9.1297
M521T925,521.3424,925.17,925.17,932.48,347000,7,59300,415000,1275602.46484375,99.96,-8.3309
M521T925_1,521.3424,925.17,925.17,932.48,347000,7,59300,415000,1275602.46484375,99.96,-8.3309
M521T925_2,521.3424,925.17,925.17,932.48,347000,7,59300,415000,1275602.46484375,99.96,-8.3309
M128T65,128.0188,64.55,57.34,71.76,35400000,13,75500,981000,198978059.421875,100,-9.1915
M128T65_1,128.0188,64.55,57.34,71.76,35400000,13,75500,981000,198978059.421875,99.74,-9.1941
M128T288,128.1431,288.03,280.77,295.34,514000,13,73000,949000,3595799.46875,60.94,-9.6531
M296T104,295.7909,104.36,98.22,111.68,146000,9,42000,378000,853066.33984375,36.16,-9.2557
M296T65,295.8598,64.55,52.52,69.34,417000,8,75100,601000,1347572.7734375,27.15,-10.0053
M296T252,296.1239,251.74,249.29,257.75,458000,6,89400,537000,1267353.484375,100,-8.588
M522T982,522.3544,982.42,976.34,989.71,495000,12,96700,1160000,2671548.11328125,100,-9.3587
M523T571,523.2905,571.46,569.01,575.08,176000,6,43400,260000,552242.2578125,100,-7.865
M129T65,129.0197,64.55,56.13,71.76,4550000,12,381000,4570000,23996547.609375,100,-10.729
M129T552,129.1269,552.04,543.55,561.76,2480000,16,754000,12100000,24233557.25,10.93,-13.915
M129T885,129.1269,885.12,877.72,892.4,13300000,13,754000,9810000,53936122.0625,61.79,-11.9748
M297T878,297.2421,877.72,872.86,883.87,1770000,10,148000,1480000,7776905.21875,33.25,-10.7007
M297T886,297.2421,886.36,882.65,891.19,882000,8,148000,1180000,3048542.3671875,9.57,-11.7232
M297T1019,297.2421,1018.96,1011.63,1026.3,2460000,13,148000,1920000,8978489.5,47.33,-10.6101
M525T586,525.3052,586.04,583.63,598.14,515000,7,60900,426000,1217833.34765625,100,-8.3571
M795T881,794.5554,881.43,878.93,887.57,21800000,8,386000,3090000,52960705.4648438,100,-10.337
M130T73,130.0496,72.94,70.55,87.27,2690000,13,201000,2610000,7669913.89453125,49.82,-10.866
M130T135,130.0496,134.86,129.98,142.2,1040000,11,201000,2210000,5458113.4765625,32.13,-11.1375
M130T282,130.0648,282,274.74,289.35,1350000,13,331000,4300000,14100126.875,53.8,-11.2885
M130T42,130.086,41.56,34.35,48.88,874000,13,122000,1590000,6973854.53125,23.54,-11.1205
M130T85,130.086,84.86,77.69,92.12,2580000,13,122000,1590000,9538983.21875,60.36,-10.1789
M130T206,130.086,205.66,203.23,212.95,480000,9,122000,1100000,2493688.40625,1.59,-13.4475
M130T1048,130.086,1048.38,1041.08,1048.38,965000,7,122000,856000,5489163.25,9.25,-11.4355
M130T870,130.1302,870.41,865.59,877.72,302000,11,50700,557000,1326035.27148438,14.5,-10.557
M130T885,130.1302,885.12,876.51,892.4,903000,13,50700,659000,3388877.42578125,48.5,-9.5165
M130T372,130.1587,371.52,364.33,378.81,2760000,13,42000,546000,7364787.984375,94.79,-8.6584
M130T372_1,130.1587,371.52,364.33,378.81,2760000,13,42000,546000,7364787.984375,95.66,-8.6492
M298T960,298.3461,960.47,956.81,967.76,1450000,10,127000,1270000,6345149.65625,100,-9.446
M131T207,130.6019,206.86,203.23,210.53,1510000,7,257000,1800000,4050247.4375,80.68,-10.0122
M131T207_1,131.1037,206.86,203.23,209.3,189000,6,38500,231000,492512.166015625,72.88,-8.0615
M131T67,131.0102,66.94,65.74,74.11,1120000,8,59700,477000,4246152.47265625,95.92,-8.5126
M131T67_1,131.0102,66.94,65.74,74.11,1120000,8,59700,477000,4246152.47265625,95.92,-8.5126
M131T72,131.0812,71.76,65.74,78.89,201000,7,36800,258000,554810.140625,94.88,-7.9072
M131T84,131.1176,83.66,77.69,88.49,364000,6,53900,323000,857310.72265625,100,-8.0813
M131T84_1,131.1176,83.66,77.69,88.49,364000,6,53900,323000,857310.72265625,100,-8.0813
M131T84_2,131.1176,83.66,77.69,88.49,364000,6,53900,323000,857310.72265625,100,-8.0813
M796T881,795.5585,881.43,878.93,887.57,11000000,8,207000,1650000,25523549.8945313,100,-9.7126
M299T694,299.1273,694.14,690.55,708.72,5160000,13,87600,1140000,13404856.7636719,99.72,-9.3433
M299T980,299.2576,980,977.57,987.27,5430000,9,118000,1060000,16687497.0625,99.53,-9.2738
M797T880,796.5698,880.13,872.86,888.78,1210000,8,120000,960000,2248607.90625,100,-9.169
M300T513,300.0894,513.24,507.19,516.93,1170000,7,53400,374000,2375320.78125,100,-8.2269
M300T694,300.1307,694.14,691.75,699.07,828000,7,90400,633000,1938574.40234375,98.55,-8.7679
M132T257,132.0252,256.55,243.23,260.16,411000,7,42800,300000,1119409.60546875,100,-8.0058
M132T73,132.0654,72.94,71.76,80.1,410000,8,48300,386000,1574515.70703125,66.89,-8.6615
M132T208,132.0654,208.07,202,212.95,147000,7,48300,338000,747931.3515625,23.87,-9.5586
M132T214,132.1012,214.16,206.86,221.41,98400000,13,1300000,16800000,593978206,88.3,-12.1589
M132T215,132.256,215.35,211.75,217.79,142000,6,44100,265000,582574.875,100,-7.8814
M132T215_1,132.256,215.35,211.75,217.79,142000,6,44100,265000,582574.875,100,-7.8814
M132T215_2,132.256,215.35,211.75,217.79,142000,6,44100,265000,582574.875,100,-7.8814
M301T1017,301.1405,1016.51,1010.41,1022.64,11400000,11,178000,1960000,44406167.453125,71.68,-10.2173
M301T1044,301.1405,1043.58,1037.43,1048.38,1410000,10,178000,1780000,6312135.375,7.56,-12.371
M301T439,301.1515,439.11,436.72,442.82,209000,6,52900,318000,634277.55078125,97.88,-8.085
M799T870,798.5856,870.41,868.01,877.72,51300000,9,618000,5560000,147487574.6875,88.53,-11.0483
M799T928,798.5856,927.61,925.17,931.28,6860000,6,618000,3710000,14399896.75,7.34,-13.1324
M800T881,799.51,881.43,878.93,886.36,19000000,7,440000,3080000,50309731,100,-10.3357
M800T870,799.5884,870.41,863.17,876.51,27100000,9,440000,3960000,76015983.0195313,90.47,-10.6875
M800T928,799.5884,927.61,925.17,931.28,3180000,6,440000,2640000,7404005.71875,7.05,-12.8339
M302T1017,302.144,1016.51,1011.63,1022.64,1720000,9,43200,389000,5799686.0078125,85.82,-8.4181
M302T1044,302.144,1043.58,1036.19,1047.18,169000,9,43200,389000,836204.451171875,7.38,-10.8715
M302T278,302.1953,278.36,277.15,289.35,1160000,10,73400,734000,2942828.41796875,7.15,-11.5386
M302T303,302.1953,302.62,296.56,309.86,11200000,10,73400,734000,29117129.4648438,86.91,-9.0407
M302T415,302.1953,415,412.6,429.54,1110000,8,73400,587000,2376878.50585938,5.88,-11.5117
M302T381,302.207,381.22,366.73,381.22,2120000,8,119000,948000,3166060.69921875,20.76,-10.7291
M302T382,302.207,382.46,373.94,393.32,2570000,15,119000,1780000,8091646.14453125,57.22,-10.3439
M302T424,302.207,423.5,415,433.16,1130000,13,119000,1540000,4728745.6953125,28.69,-10.891
M302T424_1,302.207,423.5,422.29,434.34,1130000,11,119000,1300000,4590073.5,28.69,-10.724
M302T430,302.207,429.54,427.13,445.22,997000,11,119000,1300000,4138476.171875,25.14,-10.8561
M302T844,302.3048,843.79,841.31,860.71,2580000,15,139000,2090000,7085114.4140625,98.75,-9.961
M133T65,132.9977,64.55,57.34,71.76,14200000,13,1190000,15500000,67645936.8710938,100,-11.953
M133T131,133.0315,131.2,128.76,134.86,563000,6,46700,280000,1562234.0234375,98.17,-7.9575
M133T257,133.0491,256.55,254.16,261.36,852000,7,67500,472000,2362732.41796875,100,-8.4604
M133T257_1,133.0491,256.55,254.16,261.36,852000,7,67500,472000,2362732.41796875,100,-8.4604
M133T75,133.0593,75.28,70.55,82.46,4190000,10,51000,510000,8204991.95703125,97.67,-8.5599
M133T75_1,133.0593,75.28,70.55,82.46,4190000,10,51000,510000,8204991.95703125,97.67,-8.5599
M133T120,133.0856,120.23,112.9,125.13,268000,11,89700,986000,1974194.78125,15.95,-11.0319
M133T317,133.0856,317.17,313.52,329.2,711000,14,89700,1260000,3326232.8828125,17.97,-11.154
M133T66,133.097,65.74,64.55,72.94,2860000,8,65100,521000,5249213.66796875,89.47,-8.6687
M133T66_1,133.097,65.74,64.55,72.94,2860000,8,65100,521000,5249213.66796875,89.47,-8.6687
M133T215,133.1046,215.35,208.07,222.64,6570000,13,61600,801000,38648352.515625,95.12,-9.0385
M801T881,800.5129,881.43,878.93,887.57,9790000,8,216000,1730000,25443252.0039063,100,-9.7558
M801T870,800.5911,870.41,868.01,876.51,5910000,8,302000,2420000,17527179.4140625,99.06,-10.1023
M801T926,800.6014,926.38,923.94,931.28,2380000,7,194000,1360000,6750448.75,99.31,-9.5218
M303T614,303.0492,613.98,610.32,621.28,4290000,10,190000,1900000,13502256.3515625,98.39,-9.8706
M303T480,303.1796,480.34,479.14,486.38,1680000,7,130000,909000,3673962.5078125,89.74,-9.2227
M303T303,303.1989,302.62,301.41,307.46,1820000,6,103000,617000,3955707.203125,98.41,-8.7437
M802T881,801.518,881.43,876.51,887.57,2470000,10,277000,2770000,8458365.94921875,100,-10.2301
M802T926,801.6058,926.38,923.94,931.28,1290000,7,117000,821000,3548111.90625,100,-9.0131
M134T72,134.0443,71.76,69.34,75.28,2250000,6,509000,3050000,6666774.734375,100,-10.3271
M134T471,134.0598,470.63,468.16,477.91,933000,8,62900,503000,2609023.89453125,94.69,-8.5786
M134T1047,134.0723,1047.18,1042.27,1048.38,198000,6,35700,214000,812285.390625,91.64,-7.757
M134T75,134.081,75.28,69.34,82.46,756000,11,123000,1360000,3849926.01757813,55.94,-10.0968
M304T614,304.0525,613.98,611.54,618.86,551000,6,137000,822000,1729314.4921875,100,-9.0147
M304T657,304.1538,656.6,652.92,659,527000,6,58400,350000,1381351.7890625,93.73,-8.2259
M304T326,304.1859,325.58,323.16,330.4,4520000,7,103000,721000,10438760.421875,94.63,-8.9382
M304T458,304.205,458.48,448.85,462.15,181000,6,45400,272000,569977.90625,87.86,-8.0386
M304T889,304.2992,888.78,886.36,892.4,360000,6,69800,419000,957272.17578125,94.04,-8.4011
M803T924,802.6177,923.94,920.2,931.28,2570000,7,130000,910000,7363253.66796875,100,-9.1161
M804T870,803.5398,870.41,863.17,881.43,21100000,15,598000,8970000,64278509.0195313,73.68,-11.7095
M804T928,803.5398,927.61,925.17,932.48,5830000,7,598000,4190000,13324430.796875,13.36,-12.6545
M135T301,135.1013,301.41,299,309.86,205000,9,40700,366000,748868.263671875,54.09,-8.8208
M535T361,535.2856,360.69,358.24,364.33,695000,6,45700,274000,1581551.96679688,100,-7.9162
M535T361_1,535.2856,360.69,358.24,364.33,695000,6,45700,274000,1581551.96679688,100,-7.9162
M805T870,804.5432,870.41,863.17,876.51,10800000,9,519000,4670000,31389935.578125,77.45,-11.0072
M536T375,536.2697,375.17,372.73,378.81,537000,6,48400,290000,1334020.36328125,99.53,-7.9783
M136T625,136.0212,624.91,617.65,632.21,689000,13,96300,1250000,5083445.0625,37.84,-10.4071
M136T124,136.0612,123.93,117.79,131.2,2580000,8,62900,503000,5883341.95117188,98.29,-8.5404
M806T870,805.5463,870.41,868.01,876.51,2510000,8,161000,1290000,7390827.66992188,92.24,-9.5427
M806T925,805.5574,925.17,925.17,931.28,3530000,6,95600,573000,10386730.9375,100,-8.6542
M307T547,307.1651,547.2,545.98,554.47,287000,7,62400,437000,1044675.03125,57.58,-8.9347
M307T547_1,307.1651,547.2,545.98,554.47,287000,7,62400,437000,1044675.03125,57.58,-8.9347
M307T658,307.2009,657.8,655.35,665.04,1080000,8,88400,707000,2839216.72265625,100,-8.8634
M807T925,806.5605,925.17,920.2,931.28,1480000,8,103000,821000,4429525.0703125,100,-9.0131
M137T134,137.0264,133.66,126.33,137.3,430000,8,65500,524000,1646344.5078125,70.48,-8.9146
M137T154,137.0453,154.36,147.08,160.46,13400000,12,830000,9960000,82300355.9375,87.32,-11.6443
M137T154_1,137.0453,154.36,147.08,161.68,13400000,13,830000,10800000,83026442.1875,87.32,-11.7244
M309T513,309.1801,513.24,512.03,520.55,418000,8,89300,715000,1745048.859375,91.92,-8.9586
M309T756,309.2058,756.06,752.43,766.95,468000,13,42300,550000,2178172.69140625,44.73,-9.4168
M309T952,309.2058,951.95,936.09,954.4,606000,9,42300,381000,1723419.8359375,36.46,-9.2534
M808T923,807.5726,922.68,920.2,931.28,10500000,10,324000,3240000,34473284.25,97.23,-10.4145
M138T154,138.0486,154.36,148.31,161.68,633000,12,71300,856000,3194997.55664063,91.67,-9.1417
M138T80,138.0546,80.1,78.89,86.07,1680000,6,157000,941000,3449820.90625,36.19,-10.1653
M138T312,138.0546,312.31,311.07,318.35,1220000,7,157000,1100000,3143259.99609375,43.33,-10.1394
M138T220,138.0909,220.2,215.35,227.51,15600000,11,57300,630000,59496775.3125,97.32,-8.7758
M138T243,138.0909,243.23,233.57,250.54,405000,15,57300,859000,1861656.04296875,1.61,-13.1902
M138T243_1,138.0909,243.23,239.6,248.09,405000,8,57300,458000,1356076.6640625,1.44,-12.6728
M310T78,310.1127,77.69,76.49,82.46,689000,6,66600,400000,1678155.21484375,89.18,-8.4083
M809T923,808.5762,922.68,920.2,932.48,5340000,11,113000,1250000,16931168.6796875,96.13,-9.47
M311T367,311.1599,366.73,364.33,370.33,242000,6,61200,367000,735785.953125,84.03,-8.383
M311T367_1,311.1599,366.73,364.33,370.33,242000,6,61200,367000,735785.953125,90.7,-8.3066
M139T85,139.0499,84.86,83.66,92.12,3750000,8,173000,1380000,9901102.609375,22.29,-11.0336
M139T132,139.0499,132.44,125.13,139.74,4700000,12,173000,2070000,17246198.2773438,64.35,-10.379
M139T220,139.0943,220.2,216.57,225.09,1250000,8,252000,2010000,4403317.5625,99.9,-9.9119
M139T692,139.1114,691.75,682.09,699.07,981000,15,102000,1520000,4783506.1640625,29.64,-10.8479
M140T63,139.5271,63.35,60.92,75.28,266000,6,53900,324000,911640.7265625,78.96,-8.3182
M140T154,140.0337,154.36,148.31,159.24,304000,10,75000,750000,1584037.26171875,97.6,-8.9466
M313T1002,313.143,1001.9,999.47,1011.63,724000,10,39300,393000,2142760.18359375,96.67,-8.3105
M313T1002_1,313.143,1001.9,999.47,1011.63,724000,10,39300,393000,2142760.18359375,96.67,-8.3105
M313T779,313.2365,779.09,771.82,786.33,1790000,13,351000,4570000,14689792.1875,29.16,-11.9618
M141T81,141.0655,81.3,80.1,88.49,22000000,8,160000,1280000,52779603.390625,95.74,-9.5008
M141T81_1,141.0655,81.3,80.1,88.49,22000000,8,160000,1280000,52779603.390625,95.74,-9.5008
M141T85,141.0655,84.86,84.86,92.12,3650000,7,160000,1120000,6817127.328125,8.41,-11.7992
M141T586,141.1272,586.04,573.86,592.11,254000,9,40100,361000,788134.734375,60.66,-8.6923
M314T474,314.2136,474.27,474.27,480.34,614000,6,201000,1200000,2592613.203125,100,-9.3966
M314T474_1,314.2136,474.27,474.27,480.34,614000,6,201000,1200000,2592613.203125,100,-9.3966
M314T779,314.2403,779.09,771.82,786.33,271000,13,62100,808000,1869635.5546875,26.98,-10.3072
M314T1019,314.2686,1018.96,1011.63,1026.3,861000,13,96800,1260000,3428390.85546875,85.78,-9.5938
M314T1019_1,314.2686,1018.96,1011.63,1026.3,861000,13,96800,1260000,3428390.85546875,95.96,-9.4816
M314T1019_2,314.2686,1018.96,1011.63,1026.3,861000,13,96800,1260000,3428390.85546875,94.24,-9.4997
M314T1019_3,314.2686,1018.96,1014.06,1031.25,861000,15,96800,1450000,3596796.33984375,76.04,-9.8574
M314T1019_4,314.2686,1018.96,1016.51,1026.3,861000,9,96800,871000,2902586.578125,73.28,-9.3835
M314T1020,314.2686,1020.18,1020.18,1027.63,722000,7,96800,678000,1467720.859375,21.26,-10.3696
M315T479,314.7153,479.14,473.06,480.34,165000,6,35300,212000,697808.3359375,99.59,-7.6629
M315T587,315.1224,587.28,582.35,592.11,1850000,9,148000,1330000,5142313.83984375,86.45,-9.6433
M315T846,315.2523,846.17,843.79,853.46,3840000,9,67900,611000,11086014.5,82.07,-8.9148
