xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M255T591,255.0647,590.91,588.48,595.75,909000,7,48700,341000,2229959.015625,84.75,-8.2993
M255T67,255.1352,66.94,65.74,84.86,1990000,16,71500,1140000,9039451.3203125,69.88,-9.7029
M255T68,255.1352,68.15,68.15,80.1,1920000,11,71500,786000,6272379.5625,34.05,-10.0471
M255T72,255.1352,71.76,71.76,82.46,679000,10,71500,715000,1689226.6328125,3.59,-12.2007
M255T880,255.1352,880.13,876.51,887.57,477000,9,71500,643000,2019620.953125,13.33,-10.784
M255T946,255.231,945.91,934.9,951.95,390000,13,52700,685000,1652894.1484375,55.37,-9.4239
M255T946_1,255.231,945.91,938.52,953.21,390000,12,52700,633000,1655249.87109375,60.8,-9.2502
M255T976,255.231,976.34,969.03,983.62,388000,9,52700,475000,1131157.92578125,39.1,-9.4039
M255T976_1,255.231,976.34,972.68,989.71,388000,12,52700,633000,1274693.60546875,38.57,-9.7053
M468T507,468.3057,507.19,504.71,514.45,2010000,9,185000,1670000,4799459.9296875,18.18,-11.4252
M468T507_1,468.3057,507.19,505.99,516.93,2010000,10,185000,1850000,5130476.78125,15.12,-11.715
M468T533,468.3057,532.64,525.38,539.9,5630000,13,185000,2410000,16123628.3398438,81.32,-10.2951
M256T1047,255.9439,1047.18,1041.08,1048.38,1050000,7,150000,1050000,2489118.578125,100,-9.2579
M256T1047_1,255.9439,1047.18,1041.08,1048.38,1050000,7,150000,1050000,2489118.578125,100,-9.2579
M256T844,256.1454,843.79,836.39,851.06,816000,13,249000,3240000,6555043.046875,77.9,-10.6342
M99T62,99.0421,62.13,54.93,69.34,8290000,13,48600,632000,52575164.46875,96.78,-8.7849
M99T92,99.0421,92.12,86.07,96.99,157000,9,48600,438000,881771.41015625,0.86,-13.1385
M99T7,99.0804,7.49,0.34,14.79,380000,13,107000,1390000,3422593.6875,32.01,-10.6813
M99T118,99.0804,117.79,110.46,125.13,398000,13,107000,1390000,3465986.03125,51.61,-10.2036
M469T718,469.2946,718.42,714.76,722.14,302000,7,47600,333000,1443453.4921875,77.99,-8.3598
M469T533,469.3087,532.64,530.24,539.9,1140000,9,88700,798000,3329820.19140625,82.83,-9.1736
M469T706,469.3504,706.32,699.07,707.5,335000,8,66500,532000,1279687.02734375,58.34,-9.1179
M100T63,99.5425,63.35,56.13,66.94,776000,10,35200,352000,4411297.79296875,100,-8.1653
M100T272,100.0754,272.31,265,279.56,604000,13,57900,753000,3064912.578125,46.62,-9.69
M257T68,257.151,68.15,65.74,75.28,2460000,9,93000,837000,9201126.4375,81.75,-9.2343
M258T419,258.206,418.62,417.43,425.92,2160000,8,179000,1430000,5642102.375,100,-9.5688
M258T419_1,258.206,418.62,417.43,425.92,2160000,8,179000,1430000,5642102.375,99.32,-9.5756
M101T84,101.0596,83.66,81.3,92.12,1620000,10,67100,671000,3700985.8203125,43.67,-9.64
M101T255,101.0596,255.36,250.54,262.57,469000,10,67100,671000,1966675.80859375,24.2,-10.2302
M473T754,473.3244,753.64,747.55,757.29,767000,9,71800,646000,2304856.86328125,32.71,-9.8908
M473T829,473.3244,829.11,823.03,833.97,667000,10,71800,718000,2623469.83203125,37.05,-9.8715
