,physic_x,physic_y,block_x,block_y,r,g,b,black_pixels,black_density,black_ratio,#8230b8_pixels,#8230b8_density,#8230b8_ratio
"31,111",31,111,3,11,245.99,222.7,246.68,0,0,0,0,0,0
"31,121",31,121,3,12,235.54,203.34,237.85,0,0,0,0,0,0
"31,131",31,131,3,13,243.14,188.52,236.54,0,0,0,0,0,0
"31,141",31,141,3,14,214.99,127,218.84,0,0,0,0,0,0
"31,151",31,151,3,15,185.78,96.05,209.79,0,0,0,5,0.2,0.05
"31,161",31,161,3,16,176.04,64,203.97,0,0,0,0,0,0
"31,171",31,171,3,17,217.87,113.5,220.71,0,0,0,0,0,0
"31,181",31,181,3,18,236.19,205.33,240.99,0,0,0,0,0,0
"31,191",31,191,3,19,246.69,234.55,248.31,0,0,0,0,0,0
"31,201",31,201,3,20,248.24,239.31,248.35,0,0,0,0,0,0
"31,211",31,211,3,21,252.99,247.77,253.2,0,0,0,0,0,0
"31,221",31,221,3,22,252.09,246.91,252.8,0,0,0,0,0,0
"31,231",31,231,3,23,252.52,247.37,253.3,0,0,0,0,0,0
"31,241",31,241,3,24,253.04,248.23,253.02,0,0,0,0,0,0
"31,251",31,251,3,25,252.28,246.28,252.26,0,0,0,0,0,0
"31,261",31,261,3,26,251.77,247.46,252.23,0,0,0,0,0,0
"31,271",31,271,3,27,251.68,247.76,250.14,0,0,0,0,0,0
"31,281",31,281,3,28,251.66,241.84,247.41,0,0,0,0,0,0
"31,291",31,291,3,29,249.51,237.69,247.31,0,0,0,0,0,0
"31,301",31,301,3,30,252.68,246.78,252.1,0,0,0,0,0,0
"31,311",31,311,3,31,252.88,247.62,249.43,0,0,0,0,0,0
"31,321",31,321,3,32,244.72,219.79,238.19,0,0,0,0,0,0
"31,331",31,331,3,33,194.59,143.63,214.81,0,0,0,13,0.21000000000000002,0.13
"31,341",31,341,3,34,145.74,66.78,193.71,0,0,0,33,0.97,0.33
"31,351",31,351,3,35,234.17,195.97,240.26,0,0,0,0,0,0
"31,361",31,361,3,36,231.28,211.17,241.71,0,0,0,0,0,0
"31,371",31,371,3,37,248.64,236.62,247.54,0,0,0,0,0,0
"31,381",31,381,3,38,250.62,237.66,246.21,0,0,0,0,0,0
"31,391",31,391,3,39,223.43,151.26,223.93,0,0,0,0,0,0
"31,401",31,401,3,40,224.91,129.28,226.68,0,0,0,0,0,0
"31,411",31,411,3,41,242.7,166.21,229.12,0,0,0,0,0,0
"31,421",31,421,3,42,225.96,139.25,226.03,0,0,0,0,0,0
"31,431",31,431,3,43,203.17,86.82,213.1,0,0,0,0,0,0
"31,441",31,441,3,44,224.54,107.58,219.99,0,0,0,0,0,0
"31,451",31,451,3,45,238.08,139.29,229.97,0,0,0,0,0,0
"31,461",31,461,3,46,227.45,117.35,217.61,0,0,0,0,0,0
"31,471",31,471,3,47,168.19,66.36,194.18,0,0,0,10,0.2,0.1
"31,481",31,481,3,48,177.03,72.28,204.52,0,0,0,0,0,0
"31,491",31,491,3,49,171.95,75.68,211.64,0,0,0,0,0,0
"31,501",31,501,3,50,236.82,181.23,236.98,0,0,0,0,0,0
"31,511",31,511,3,51,243.19,204.79,237.09,0,0,0,0,0,0
"31,521",31,521,3,52,238.52,178.38,232.71,0,0,0,0,0,0
"31,531",31,531,3,53,246.06,205.95,241.36,0,0,0,0,0,0
"31,541",31,541,3,54,239.82,188.06,232.56,0,0,0,0,0,0
"31,551",31,551,3,55,232.35,131.43,223.97,0,0,0,0,0,0
"31,561",31,561,3,56,230.87,102.68,217.74,0,0,0,0,0,0
"31,571",31,571,3,57,233.38,117.71,227.31,0,0,0,0,0,0
"31,581",31,581,3,58,247.24,206.81,242.65,0,0,0,0,0,0
"31,591",31,591,3,59,245.85,203.62,242.69,0,0,0,0,0,0
"31,601",31,601,3,60,244.32222222222222,208.06666666666666,244.95555555555555,0,0,0,0,0,0
"41,1",41,1,4,0,199.93,98.42,210.32,0,0,0,0,0,0
"41,11",41,11,4,1,162.95,54.26,188.48,0,0,0,0,0,0
"41,21",41,21,4,2,195.68,80.89,203.39,0,0,0,0,0,0
"41,31",41,31,4,3,221.39,99.99,213.59,0,0,0,0,0,0
"41,41",41,41,4,4,226.49,111.41,216.56,0,0,0,0,0,0
"41,51",41,51,4,5,223.27,119.82,220.23,0,0,0,0,0,0
"41,61",41,61,4,6,228.54,151.31,228.73,0,0,0,0,0,0
"41,71",41,71,4,7,242.62,195.15,239.52,0,0,0,0,0,0
"41,81",41,81,4,8,241.11,199.19,239.81,0,0,0,0,0,0
"41,91",41,91,4,9,247.86,222.06,244.73,0,0,0,0,0,0
"41,101",41,101,4,10,247.33,217.33,243.99,0,0,0,0,0,0
"41,111",41,111,4,11,244.06,207.98,244.33,0,0,0,0,0,0
"41,121",41,121,4,12,239.62,211.63,235.39,0,0,0,0,0,0
"41,131",41,131,4,13,190.15,78.16,197.23,0,0,0,0,0,0
"41,141",41,141,4,14,209.82,95.89,204.98,0,0,0,0,0,0
"41,151",41,151,4,15,212.21,91.73,208.81,0,0,0,0,0,0
"41,161",41,161,4,16,214.93,86.65,211.16,0,0,0,0,0,0
"41,171",41,171,4,17,214.89,122.72,226.37,0,0,0,0,0,0
"41,181",41,181,4,18,242.92,222.38,246.6,0,0,0,0,0,0
"41,191",41,191,4,19,249.56,241.77,251.08,0,0,0,0,0,0
"41,201",41,201,4,20,251.79,247.86,252.21,0,0,0,0,0,0
"41,211",41,211,4,21,252.91,248.25,253.51,0,0,0,0,0,0
"41,221",41,221,4,22,253.09,248.26,253.82,0,0,0,0,0,0
"41,231",41,231,4,23,252.17,247.36,253,0,0,0,0,0,0
"41,241",41,241,4,24,251.83,247.06,251.79,0,0,0,0,0,0
"41,251",41,251,4,25,253.87,247.14,253.54,0,0,0,0,0,0
"41,261",41,261,4,26,248.37,237.66,248.09,0,0,0,0,0,0
"41,271",41,271,4,27,246.54,224.7,244.29,0,0,0,0,0,0
"41,281",41,281,4,28,226.27,150.31,225.9,0,0,0,0,0,0
"41,291",41,291,4,29,229.83,160.72,229.61,0,0,0,0,0,0
"41,301",41,301,4,30,233.68,202.48,228.54,0,0,0,0,0,0
"41,311",41,311,4,31,215.62,173.08,212.03,0,0,0,0,0,0
"41,321",41,321,4,32,204.99,96.22,209.09,0,0,0,0,0,0
"41,331",41,331,4,33,226.97,136.16,224.65,0,0,0,0,0,0
"41,341",41,341,4,34,166.04,88.24,216.57,0,0,0,3,0.07999999999999999,0.03
"41,351",41,351,4,35,246.46,232.16,246.4,0,0,0,0,0,0
"41,361",41,361,4,36,238.71,204.83,238.88,0,0,0,0,0,0
"41,371",41,371,4,37,231.7,168.54,229.76,0,0,0,0,0,0
"41,381",41,381,4,38,232.51,155.17,224.23,0,0,0,0,0,0
"41,391",41,391,4,39,211.59,115.57,207.84,0,0,0,0,0,0
"41,401",41,401,4,40,209.94,125.99,201.96,0,0,0,0,0,0
"41,411",41,411,4,41,156.01,68.95,185.21,0,0,0,9,0.19,0.09
"41,421",41,421,4,42,214.83,106.12,210.11,0,0,0,0,0,0
"41,431",41,431,4,43,225.17,96.88,213.48,0,0,0,0,0,0
"41,441",41,441,4,44,220.68,117,224.67,0,0,0,0,0,0
"41,451",41,451,4,45,230.27,155.56,228.52,0,0,0,0,0,0
"41,461",41,461,4,46,211.91,115,205.37,0,0,0,0,0,0
"41,471",41,471,4,47,177.23,90.58,212.83,0,0,0,10,0.32,0.1
"41,481",41,481,4,48,226.94,118.19,222.7,0,0,0,0,0,0
"41,491",41,491,4,49,224.28,115.97,221.26,0,0,0,0,0,0
"41,501",41,501,4,50,223.7,125.58,212.51,0,0,0,0,0,0
"41,511",41,511,4,51,160.2,68.24,185.75,0,0,0,3,0.06,0.03
"41,521",41,521,4,52,179.46,75.89,202.02,0,0,0,4,0.14,0.04
"41,531",41,531,4,53,203.14,100.76,207,0,0,0,0,0,0
"41,541",41,541,4,54,198.75,95.22,199.06,0,0,0,1,0.01,0.01
"41,551",41,551,4,55,183.59,83.26,195.76,0,0,0,0,0,0
"41,561",41,561,4,56,227.98,116.06,219.54,0,0,0,0,0,0
"41,571",41,571,4,57,227.59,104.63,223.77,0,0,0,0,0,0
"41,581",41,581,4,58,242.04,189.3,236.26,0,0,0,0,0,0
"41,591",41,591,4,59,244.81,202.86,242.04,0,0,0,0,0,0
"41,601",41,601,4,60,245.1,211.61111111111111,245.24444444444444,0,0,0,0,0,0
"51,1",51,1,5,0,217.1,158.8,225.36,0,0,0,1,0.02,0.01
"51,11",51,11,5,1,175.85,102.34,216.85,0,0,0,3,0.1,0.03
"51,21",51,21,5,2,183.43,102.32,215.1,0,0,0,5,0.18000000000000002,0.05
"51,31",51,31,5,3,186.3,77.94,206.4,0,0,0,0,0,0
"51,41",51,41,5,4,215.21,91.01,213.13,0,0,0,0,0,0
"51,51",51,51,5,5,212.08,86.82,211.18,0,0,0,0,0,0
"51,61",51,61,5,6,219,114.19,219.9,0,0,0,0,0,0
"51,71",51,71,5,7,231.25,143.42,230.23,0,0,0,0,0,0
"51,81",51,81,5,8,235.62,165.95,236.82,0,0,0,0,0,0
"51,91",51,91,5,9,227.94,163.87,227.52,0,0,0,0,0,0
"51,101",51,101,5,10,218.6,116.63,212.63,0,0,0,0,0,0
"51,111",51,111,5,11,223.79,153.56,220.21,0,0,0,0,0,0
"51,121",51,121,5,12,225.85,158.01,219.75,0,0,0,0,0,0
"51,131",51,131,5,13,194.58,83.38,198.74,0,0,0,0,0,0
