,Cluster,x,y
"206,675",-1,206,675
"207,545",-1,207,545
"207,615",-1,207,615
"207,617",-1,207,617
"208,620",-1,208,620
"214,462",-1,214,462
"221,467",-1,221,467
"226,592",-1,226,592
"244,499",-1,244,499
"246,502",-1,246,502
"247,501",-1,247,501
"252,498",-1,252,498
"288,132",-1,288,132
"293,190",-1,293,190
"296,199",-1,296,199
"296,349",-1,296,349
"298,346",-1,298,346
"299,454",-1,299,454
"300,531",-1,300,531
"301,286",-1,301,286
"302,372",-1,302,372
"309,564",-1,309,564
"309,576",-1,309,576
"310,685",-1,310,685
"313,206",-1,313,206
"314,369",-1,314,369
"316,676",-1,316,676
"317,677",-1,317,677
"318,682",-1,318,682
